제목;요약;주제;세부주제;작성자;발행일
Spring Boot 3.0의 새로운 기능;Spring Boot 3.0의 주요 변경사항과 새로운 기능을 소개하고, 이를 실제 프로젝트에 적용하는 방법을 설명합니다.;백엔드 개발;프레임워크;김철수,박영희;2023-05-12
딥러닝 모델 최적화 기법;TensorFlow를 사용한 딥러닝 모델의 성능 최적화 기법을 다루며, 실제 프로젝트에서의 적용 사례를 공유합니다.;머신러닝/AI;모델 최적화;이지훈,정미경;2023-07-23
React와 TypeScript를 활용한 효율적인 프론트엔드 개발;React와 TypeScript를 조합하여 안정적이고 유지보수가 용이한 프론트엔드 애플리케이션을 개발하는 방법을 소개합니다.;프론트엔드 개발;웹 프레임워크;홍길동,김민지;2023-09-04
마이크로서비스 아키텍처 설계 및 구현 사례;대규모 서비스의 마이크로서비스 아키텍처 전환 과정과 이를 통해 얻은 교훈을 공유합니다.;시스템 아키텍처;마이크로서비스;박성민,이지훈,정미경;2023-11-18
Kotlin Coroutines를 이용한 비동기 프로그래밍;Kotlin Coroutines의 기본 개념부터 실제 안드로이드 앱 개발에서의 활용 방법까지 상세히 설명합니다.;모바일 개발;안드로이드;최유진,김철수;2024-01-07
DevOps 파이프라인 구축: Jenkins와 Docker 활용;Jenkins와 Docker를 이용한 효율적인 CI/CD 파이프라인 구축 방법과 자동화 전략을 소개합니다.;DevOps;CI/CD;이상훈,박영희,홍길동;2024-02-22
GraphQL API 설계 및 성능 최적화;REST에서 GraphQL로의 전환 과정과 이에 따른 API 성능 최적화 기법을 다룹니다.;백엔드 개발;API 설계;정미경,이지훈;2023-08-15
웹 접근성 향상을 위한 프론트엔드 개발 기법;웹 애플리케이션의 접근성을 높이기 위한 HTML, CSS, JavaScript 활용 방법을 설명합니다.;프론트엔드 개발;웹 접근성;김민지,최유진;2023-10-30
대규모 데이터 처리를 위한 Apache Kafka 활용;Apache Kafka를 이용한 실시간 대용량 데이터 처리 시스템 구축 경험을 공유합니다.;빅데이터;데이터 스트리밍;박성민,김철수;2024-03-09
머신러닝 모델의 실시간 서빙 아키텍처;TensorFlow Serving을 이용한 머신러닝 모델의 효율적인 실시간 서빙 방법을 소개합니다.;머신러닝/AI;모델 서빙;이지훈,정미경,박영희;2023-12-05
Kubernetes를 활용한 마이크로서비스 운영;Kubernetes 기반의 마이크로서비스 배포 및 운영 전략과 모니터링 방법을 다룹니다.;클라우드;컨테이너 오케스트레이션;최유진,홍길동;2024-04-17
블록체인 기반 분산 애플리케이션 개발;이더리움 기반의 스마트 컨트랙트 개발과 웹3 애플리케이션 구현 방법을 설명합니다.;블록체인;dApp 개발;김철수,박성민,이상훈;2023-06-28
Flutter를 이용한 크로스 플랫폼 앱 개발;Flutter 프레임워크를 사용하여 iOS와 Android 플랫폼을 동시에 지원하는 앱을 개발하는 방법을 소개합니다.;모바일 개발;크로스 플랫폼;이지훈,김민지;2024-01-25
보안을 고려한 REST API 설계와 구현;안전한 REST API 설계 원칙과 OAuth 2.0을 이용한 인증 구현 방법을 다룹니다.;백엔드 개발;API 보안;정미경,최유진;2023-09-19
Vue.js 3.0과 Composition API 활용;Vue.js 3.0의 새로운 기능과 Composition API를 활용한 효율적인 컴포넌트 설계 방법을 설명합니다.;프론트엔드 개발;웹 프레임워크;박영희,이상훈,김철수;2024-03-30
NoSQL 데이터베이스 선택 가이드;다양한 NoSQL 데이터베이스의 특징을 비교하고 적절한 사용 사례를 소개합니다.;데이터베이스;NoSQL;홍길동,이지훈;2023-11-02
서버리스 아키텍처와 AWS Lambda 활용;AWS Lambda를 이용한 서버리스 애플리케이션 개발과 운영 경험을 공유합니다.;클라우드;서버리스;정미경,최유진,박성민;2024-02-14
TDD를 통한 견고한 백엔드 애플리케이션 개발;테스트 주도 개발(TDD) 방법론을 백엔드 개발에 적용하는 과정과 이점을 설명합니다.;백엔드 개발;테스팅;김민지,이상훈;2023-07-09
ElasticSearch를 활용한 검색 엔진 구축;ElasticSearch를 이용한 효율적인 전문 검색 시스템 구축 방법과 최적화 기법을 소개합니다.;데이터베이스;검색 엔진;최유진,이지훈;2024
